well_id,FieldIndex,x_micrometer,y_micrometer,z_micrometer,pixel_size_z,z_pixel,Time,pixel_size_x,pixel_size_y,x_pixel,y_pixel,bit_depth,x_micrometer_original,y_micrometer_original
D02,6,-1138.9,1468.0,0,1.0,247,2022-05-30 21:28:30.155000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1138.9,1468.0
D02,7,656.4,2165.5,0,1.0,247,2022-05-30 21:30:47.993000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,656.4,2165.5
D03,1,75.1,-2213.0,0,1.0,247,2022-05-30 21:39:53.475000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,75.1,-2213.0
D03,2,1638.0,-2193.6,0,1.0,247,2022-05-30 21:42:12.182000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1638.0,-2193.6
D03,3,1392.6,-333.7,0,1.0,247,2022-05-30 21:44:29.678000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1392.6,-333.7
D03,4,352.8,111.8,0,1.0,247,2022-05-30 21:46:46.787000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,352.8,111.8
D03,5,-628.7,1242.0,0,1.0,247,2022-05-30 21:49:04.078000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-628.7,1242.0
D03,6,1418.4,2159.0,0,1.0,247,2022-05-30 21:52:22.323000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1418.4,2159.0
D04,1,2090.0,-1709.2,0,1.0,247,2022-05-30 22:00:41.666000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2090.0,-1709.2
D04,2,2458.2,-1000.0,0,1.0,247,2022-05-30 22:03:00.080000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2458.2,-1295.9
D04,3,-2120.5,-831.0,0,1.0,247,2022-05-30 22:05:17.407000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-2120.5,-831.0
D04,4,327.0,-36.6,0,1.0,247,2022-05-30 22:07:36.614000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,327.0,-36.6
D04,5,2303.2,460.5,0,1.0,247,2022-05-30 22:10:59.312000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2303.2,460.5
D04,6,-887.0,951.4,0,1.0,247,2022-05-30 22:13:16.549000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-887.0,951.4
D04,7,753.2,1015.9,0,1.0,247,2022-05-30 22:15:33.532000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,753.2,1015.9
D05,1,1625.1,-1890.1,0,1.0,247,2022-05-30 22:24:36.114000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1625.1,-1890.1
D05,2,-2101.1,-1205.5,0,1.0,247,2022-05-30 22:26:55.402000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-2101.1,-1205.5
D05,3,139.7,-669.5,0,1.0,247,2022-05-30 22:29:13.389000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,139.7,-669.5
D05,4,2070.7,241.0,0,1.0,247,2022-05-30 22:31:31.108000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2070.7,241.0
D05,5,643.4,880.3,0,1.0,247,2022-05-30 22:33:48.756000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,643.4,880.3
D06,1,-1184.1,-2051.5,0,1.0,247,2022-05-30 22:43:18.276000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1184.1,-2051.5
D06,2,1967.3,-1851.3,0,1.0,247,2022-05-30 22:45:37.593000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1967.3,-1851.3
D06,3,-971.0,-579.1,0,1.0,247,2022-05-30 22:47:55.562000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-971.0,-579.1
D06,4,1818.8,98.9,0,1.0,247,2022-05-30 22:50:13.611000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1818.8,98.9
D06,5,888.9,957.8,0,1.0,247,2022-05-30 22:52:31.359000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,888.9,957.8
D06,6,1909.2,1790.9,0,1.0,247,2022-05-30 22:54:49.111000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1909.2,1790.9
D06,7,107.4,2307.5,0,1.0,247,2022-05-30 22:57:07.042000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,107.4,2307.5
